imagen,particulas,iteraciones,r,m,SSIM_avg,E,SF,SD,PSNR,FO
APC_1_view_1_fk_06_005,2,10,13,0.01,0.797627,6.383042,8.285408,0.087337,20.417932,1.799686
APC_1_view_1_fk_06_005,2,20,23,0.0531,0.793664,6.465268,10.285877,0.092318,20.355207,1.805375
APC_1_view_1_fk_06_005,2,30,1,0.7245,0.674166,6.561408,19.620485,0.097398,20.015382,1.694497
APC_1_view_1_fk_06_005,2,40,9,0.0574,0.794367,6.454977,10.335416,0.090993,20.369417,1.804911
APC_1_view_1_fk_06_005,2,50,7,0.01,0.797666,6.380847,8.254561,0.087108,20.418497,1.799457
APC_1_view_1_fk_06_005,4,10,1,0.072,0.798208,6.402777,9.500116,0.087778,20.407021,1.802622
APC_1_view_1_fk_06_005,4,20,25,0.0547,0.793281,6.469325,10.363355,0.092696,20.349323,1.80544
APC_1_view_1_fk_06_005,4,30,25,0.0222,0.797423,6.40768,8.854172,0.088863,20.408093,1.80245
APC_1_view_1_fk_06_005,4,40,23,0.052,0.793881,6.463394,10.232367,0.09218,20.357944,1.805415
APC_1_view_1_fk_06_005,4,50,25,0.01,0.797604,6.385499,8.292368,0.08753,20.417446,1.799966
APC_1_view_1_fk_06_005,6,10,9,0.0588,0.794141,6.456953,10.397012,0.091114,20.366952,1.804932
APC_1_view_1_fk_06_005,6,20,19,0.0536,0.793743,6.463799,10.298805,0.092081,20.358078,1.805302
APC_1_view_1_fk_06_005,6,30,22,0.052,0.793893,6.463495,10.235729,0.092146,20.358367,1.805415
APC_1_view_1_fk_06_005,6,40,23,0.052,0.793866,6.463527,10.236137,0.09219,20.357753,1.805415
APC_1_view_1_fk_06_005,6,50,25,0.0513,0.793951,6.463361,10.201953,0.092269,20.357873,1.805453
APC_1_view_1_fk_06_005,8,10,25,0.01,0.797604,6.385499,8.292368,0.08753,20.417446,1.799966
APC_1_view_1_fk_06_005,8,20,25,0.0557,0.793083,6.471141,10.408856,0.092817,20.346818,1.805448
APC_1_view_1_fk_06_005,8,30,25,0.01,0.797604,6.385499,8.292368,0.08753,20.417446,1.799966
APC_1_view_1_fk_06_005,8,40,25,0.0513,0.793934,6.463481,10.206135,0.09228,20.357659,1.805453
APC_1_view_1_fk_06_005,8,50,25,0.0513,0.793934,6.46348,10.206142,0.09228,20.357658,1.805453
APC_1_view_1_fk_06_005,10,10,18,0.0518,0.794095,6.46,10.21681,0.091794,20.362676,1.805227
APC_1_view_1_fk_06_005,10,20,23,0.052,0.793884,6.463355,10.231763,0.092179,20.357975,1.805415
APC_1_view_1_fk_06_005,10,30,25,0.0557,0.793069,6.471304,10.412139,0.092825,20.346635,1.805448
APC_1_view_1_fk_06_005,10,40,25,0.0513,0.793939,6.463484,10.204857,0.092277,20.357724,1.805453
APC_1_view_1_fk_06_005,10,50,25,0.0513,0.793944,6.463446,10.203674,0.092274,20.357785,1.805453
APC_1_view_2_fk_ref_01_005,2,10,17,0.0519,0.839433,6.66756,9.601998,0.109288,21.537752,1.888107
APC_1_view_2_fk_ref_01_005,2,20,4,0.0431,0.842918,6.625105,8.969716,0.106304,21.580652,1.886864
APC_1_view_2_fk_ref_01_005,2,30,25,0.0436,0.840998,6.6633,9.279723,0.109355,21.547004,1.889381
APC_1_view_2_fk_ref_01_005,2,40,25,0.01,0.844428,6.605072,7.822424,0.105845,21.59574,1.886019
APC_1_view_2_fk_ref_01_005,2,50,1,0.01,0.844379,6.595298,7.602799,0.104976,21.598189,1.884773
APC_1_view_2_fk_ref_01_005,4,10,18,0.04,0.841675,6.650837,9.096331,0.108324,21.561253,1.888642
APC_1_view_2_fk_ref_01_005,4,20,25,0.0436,0.84099,6.663382,9.281522,0.109359,21.546907,1.889381
APC_1_view_2_fk_ref_01_005,4,30,25,0.01,0.844428,6.605072,7.822424,0.105845,21.59574,1.886019
APC_1_view_2_fk_ref_01_005,4,40,25,0.01,0.844428,6.605072,7.822424,0.105845,21.59574,1.886019
APC_1_view_2_fk_ref_01_005,4,50,25,0.0459,0.840541,6.66742,9.383393,0.109615,21.541293,1.889386
APC_1_view_2_fk_ref_01_005,6,10,22,0.0441,0.840924,6.661084,9.300144,0.109114,21.548681,1.888941
APC_1_view_2_fk_ref_01_005,6,20,25,0.046,0.840536,6.667451,9.384532,0.109618,21.541228,1.88938
APC_1_view_2_fk_ref_01_005,6,30,25,0.01,0.844428,6.605072,7.822424,0.105845,21.59574,1.886019
APC_1_view_2_fk_ref_01_005,6,40,25,0.0459,0.840544,6.667404,9.382716,0.109613,21.541331,1.889386
APC_1_view_2_fk_ref_01_005,6,50,25,0.0459,0.840554,6.667349,9.380464,0.109608,21.541458,1.889386
APC_1_view_2_fk_ref_01_005,8,10,24,0.0452,0.840684,6.66536,9.352485,0.109449,21.544032,1.889133
APC_1_view_2_fk_ref_01_005,8,20,25,0.0459,0.840554,6.66735,9.380524,0.109608,21.541455,1.889386
APC_1_view_2_fk_ref_01_005,8,30,25,0.0452,0.840679,6.666155,9.352641,0.109538,21.543017,1.889382
APC_1_view_2_fk_ref_01_005,8,40,25,0.0459,0.840542,6.667421,9.383123,0.109614,21.541308,1.889386
APC_1_view_2_fk_ref_01_005,8,50,25,0.0459,0.840558,6.667273,9.379558,0.109605,21.541509,1.889386
APC_1_view_2_fk_ref_01_005,10,10,12,0.0291,0.843328,6.626416,8.605919,0.1068,21.582617,1.887457
APC_1_view_2_fk_ref_01_005,10,20,25,0.0436,0.840987,6.663401,9.282163,0.109361,21.546872,1.889381
APC_1_view_2_fk_ref_01_005,10,30,25,0.0452,0.840694,6.666052,9.349256,0.109529,21.543205,1.889382
APC_1_view_2_fk_ref_01_005,10,40,1,0.0584,0.843761,6.609187,8.651227,0.105565,21.589032,1.8858
APC_1_view_2_fk_ref_01_005,10,50,25,0.0459,0.84054,6.667425,9.383546,0.109615,21.541284,1.889386
APC_1_view_3_fk_ref_02_005,2,10,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.877803
APC_1_view_3_fk_ref_02_005,2,20,18,0.01,0.808933,6.91251,8.985865,0.133841,20.479025,1.877787
APC_1_view_3_fk_ref_02_005,2,30,1,0.01,0.808992,6.909229,8.74869,0.13315,20.480969,1.877455
APC_1_view_3_fk_ref_02_005,2,40,24,0.01,0.808949,6.912588,8.987187,0.133971,20.478741,1.87781
APC_1_view_3_fk_ref_02_005,2,50,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.877803
APC_1_view_3_fk_ref_02_005,4,10,25,0.0174,0.808595,6.917984,9.352098,0.13473,20.473513,1.878079
APC_1_view_3_fk_ref_02_005,4,20,18,0.0194,0.80843,6.91955,9.446054,0.134621,20.472902,1.878124
APC_1_view_3_fk_ref_02_005,4,30,25,0.01,0.808954,6.912494,8.987945,0.133999,20.478691,1.877803
APC_1_view_3_fk_ref_02_005,4,40,1,0.0469,0.808426,6.918832,9.697616,0.133603,20.475039,1.87803
APC_1_view_3_fk_ref_02_005,4,50,24,0.01,0.808949,6.912588,8.987187,0.133971,20.478741,1.87781
APC_1_view_3_fk_ref_02_005,6,10,19,0.0187,0.808482,6.918922,9.413757,0.134611,20.473322,1.878104
